model_name,theta_score,accuracy_overall,accuracy_stem,accuracy_nonstem,reasoning_sensitivity,semantic_sensitivity
rombodawg/Llama-3-8B-Instruct-Coder,-0.06049993,0.653967,0.557247,0.681973,-0.104339,-0.05931
Zardos/nil_Llama-3-8B-Instruct_v0.1.1,-0.061388746,0.653967,0.557247,0.681973,-0.104339,-0.05931
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,-0.06230337,0.654536,0.569299,0.679218,-0.121239,-0.085094
CausalLM/72B-preview-canary-llamafied-qwen-llamafy-unbias-qkv,-0.063416705,0.672839,0.593086,0.695932,-0.102354,-0.077136
SrikanthChellappa/Collaiborator-MEDLLM-Llama-3-8B,-0.06801047,0.653967,0.558199,0.681697,-0.11958,-0.079417
ChavyvAkvar/llama-3-lumimaid-habib-v7,-0.068264455,0.652044,0.557881,0.679309,-0.111634,-0.069034
AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,-0.06856195,0.650263,0.55471,0.677932,-0.117885,-0.076432
lcw99/llama-3-8b-it-kor-extented-chang,-0.069166444,0.652614,0.558516,0.67986,-0.103386,-0.070385
cognitivecomputations/Llama-3-8B-Instruct-abliterated-v2,-0.06947429,0.658524,0.572788,0.68335,-0.116835,-0.066489
migtissera/Tess-2.0-Llama-3-8B,-0.0702812,0.649053,0.548684,0.678116,-0.128841,-0.070697
jan-ai/Solar-10.7B-SLERP,-0.07147558,0.652115,0.551538,0.681238,-0.10701,-0.064984
ajibawa-2023/Scarlett-Llama-3-8B,-0.07183162,0.651261,0.555978,0.67885,-0.120063,-0.067081
dreamgen/opus-v1.2-llama-3-8b,-0.07216133,0.653255,0.562004,0.679677,-0.096561,-0.046118
macadeliccc/SOLAR-10.7b-Instruct-truthy-dpo,-0.076275654,0.647913,0.553758,0.675177,-0.12037,-0.076241
jilp00/SOLAR-10.7B-tutored,-0.077100575,0.646845,0.536949,0.678667,-0.124114,-0.038486
lcw99/llama-3-10b-it-kor-extented-chang,-0.07796332,0.652186,0.546464,0.682799,-0.129658,-0.073573
Kukedlc/Smart-LLaMa-3-8b-Python-v4,-0.07985772,0.651759,0.560736,0.678116,-0.121509,-0.085906
AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,-0.08274452,0.651332,0.553441,0.679677,-0.112212,-0.052824
OpenLemur/lemur-70b-v1,-0.08320013,0.645563,0.543926,0.674993,-0.095659,-0.062471
ajibawa-2023/Scarlett-Llama-3-8B-v1.0,-0.084668495,0.650263,0.555344,0.677748,-0.112434,-0.05946
hfl/llama-3-chinese-8b-instruct-v2,-0.085539564,0.651047,0.568665,0.674901,-0.117301,-0.078447
Undi95/Meta-Llama-3-8B-hf,-0.085961595,0.653041,0.557247,0.680779,-0.120515,-0.077647
grimjim/llama-3-merge-virt-req-8B,-0.0867158,0.654109,0.56359,0.68032,-0.111264,-0.069143
lightblue/suzume-llama-3-8B-multilingual,-0.091304116,0.652258,0.559467,0.679126,-0.116321,-0.053295
fblgit/LUNA-SOLARkrautLM-Instruct,-0.09149563,0.6477,0.563907,0.671963,-0.123921,-0.084291
abhishek/autotrain-xva0j-mixtral8x7b,-0.093023285,0.660946,0.570251,0.687207,-0.133579,-0.083186
abhinand/Llama-3-OpenBioMed-8B-slerp-v0.3,-0.09349274,0.652186,0.555027,0.68032,-0.109382,-0.073176
martyn/solar-megamerge-dare-10.7b-v1,-0.09488086,0.651973,0.555027,0.680044,-0.097912,-0.096302
Kukedlc/LLama-3-8b-Maths,-0.096085794,0.649836,0.553758,0.677656,-0.123029,-0.088841
azharsultan/Meta-Llama-3-8B-orpo,-0.097562686,0.646133,0.55027,0.673891,-0.105422,-0.074845
TomGrc/FusionNet_SOLAR,-0.09758921,0.646703,0.552173,0.674075,-0.118534,-0.078368
Walmart-the-bag/Solar-10.7B-Cato,-0.1009138,0.644495,0.55249,0.671136,-0.112236,-0.068308
AwanLLM/Llama-3-8B-Dolfin-v0.2-Instruct,-0.10119573,0.648626,0.55693,0.675177,-0.112904,-0.072511
raincandy-u/Llama-3-5B-Sheard,-0.10293257,0.646133,0.55471,0.672605,-0.105559,-0.056027
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-3000total-bf16,-0.10530036,0.646204,0.548367,0.674534,-0.101868,-0.049424
922CA/Llama-3-monika-ddlc-11.5b-v1,-0.10924926,0.652258,0.560736,0.678758,-0.112737,-0.065939
openthaigpt/openthaigpt-1.0.0-70b-chat,-0.11421987,0.6571,0.5268,0.69483,-0.122832,-0.058255
ChavyvAkvar/llama-3-lumimaid-habib-v5,-0.11505734,0.6477,0.56359,0.672054,-0.106495,-0.064418
Faradaylab/ARIA-70B-V3,-0.118537284,0.637445,0.529337,0.668748,-0.097282,-0.053698
ChavyvAkvar/llama-3-lumimaid-habib,-0.12002526,0.648839,0.555027,0.676003,-0.111516,-0.06951
mychen76/openmixtral-4x7b-merged,-0.1207691,0.643213,0.540438,0.672973,-0.105405,-0.085128
VAGOsolutions/SauerkrautLM-Mixtral-8x7B,-0.120905556,0.655676,0.553758,0.685187,-0.124041,-0.090946
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-2fail-128total,-0.12132281,0.648697,0.554075,0.676095,-0.102183,-0.032267
NotAiLOL/Yi-1.5-dolphin-9B,-0.12136541,0.662869,0.607041,0.679034,-0.084897,-0.068226
luffycodes/higgs-llama-vicuna-ep25-70b,-0.12455895,0.638157,0.521408,0.671963,-0.09398,-0.06594
jilp00/Hermes-2-SOLAR-10.7B-Symbolic,-0.12483834,0.645777,0.539486,0.676554,-0.094855,-0.057296
elinas/Llama-3-13B-Instruct-ft,-0.12692173,0.64891,0.538852,0.680779,-0.097756,-0.058564
saucam/aqua-smaug-hermes-8B,-0.12860279,0.649551,0.56359,0.674442,-0.124357,-0.081239
cloudyu/Mixtral_7Bx6_MoE_35B,-0.12973087,0.641148,0.539169,0.670677,-0.115844,-0.104487
cognitivecomputations/Dolphin-2.9.1-Phi-3-Kensho-4.5B,-0.12994087,0.655961,0.56137,0.68335,-0.117003,-0.093599
collaiborateorg/Collaiborator-MEDLLM-Llama-3-8B-v1,-0.13095304,0.649195,0.554075,0.676738,-0.122957,-0.079276
investbrainsorg/BrokenLlama-3-8b,-0.13141812,0.642928,0.540121,0.672697,-0.113269,-0.069565
Sao10K/Sensualize-Solar-10.7B,-0.1341356,0.641931,0.539486,0.671595,-0.117595,-0.076054
birgermoell/llama-3-open-hermes-disco,-0.13505878,0.645635,0.555344,0.671779,-0.117294,-0.076735
mlabonne/OrpoLlama-3-8B,-0.13591412,0.643356,0.552807,0.669575,-0.126202,-0.065582
Changgil/K2S3-SOLAR-11b-v3.0,-0.13601436,0.643142,0.545512,0.671412,-0.109102,-0.086999
AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,-0.1361152,0.644495,0.562322,0.668289,-0.106747,-0.063812
joowon99/SOLAR-10.7B-ko_alpaca,-0.13816826,0.643641,0.546781,0.671687,-0.103866,-0.090226
ibivibiv/aegolius-acadicus-30b,-0.1382681,0.642857,0.537266,0.673432,-0.098624,-0.087831
BEE-spoke-data/Meta-Llama-3-8Bee,-0.1392552,0.645421,0.554075,0.671871,-0.114499,-0.061998
NotAiLOL/Yi-1.5-9B-coder,-0.13998187,0.657883,0.602918,0.673799,-0.098714,-0.09328
LeroyDyer/Mixtral_AI_Cyber_3.m1,-0.1410602,0.638798,0.530606,0.670126,-0.100335,-0.081859
mychen76/openmixtral-6x7b-v2,-0.14212811,0.641433,0.535363,0.672146,-0.112372,-0.099006
kuotient/Seagull-Llama-3-8B-orpo-v0.3,-0.14287886,0.640009,0.557564,0.663881,-0.105767,-0.059721
seungduk/KoSOLAR-10.7B-v0.1,-0.14407752,0.642216,0.546464,0.669942,-0.116719,-0.081422
TsinghuaC3I/Llama-3-8B-UltraMedical,-0.1441238,0.647771,0.555661,0.674442,-0.123522,-0.06353
AwanLLM/Meta-Llama-3-8B-Instruct-Dolfin-v0.1,-0.14497769,0.648056,0.555978,0.674718,-0.114361,-0.046179
ibivibiv/aegolius-acadicus-v1-30b,-0.14691956,0.642857,0.536949,0.673524,-0.097996,-0.08585
statking/Meta-Llama-3-8B-Instruct-ORPO-QLoRA,-0.14738981,0.647415,0.549318,0.67582,-0.112653,-0.06577
cloudyu/Mixtral_7Bx2_MoE,-0.14871395,0.643641,0.536315,0.674718,-0.104277,-0.089219
Sao10K/Test-Raw-Solar-v1,-0.15146372,0.640934,0.546147,0.668381,-0.116337,-0.071073
elinas/Llama-3-13B-Instruct,-0.15385187,0.645848,0.539486,0.676646,-0.114497,-0.083896
KnutJaegersberg/Walter-SOLAR-11B,-0.15492904,0.642359,0.544244,0.670769,-0.116036,-0.094797
ChavyvAkvar/llama-3-lumimaid-habib-v3,-0.15509339,0.644851,0.557247,0.670218,-0.103726,-0.073974
andysalerno/cloudymixtral7Bx2-nectar-0.2,-0.15582317,0.643356,0.541072,0.672973,-0.108289,-0.084902
WizardLM/WizardLM-70B-V1.0,-0.15681398,0.638086,0.528386,0.66985,-0.085426,-0.067029
cloudyu/Mixtral_7Bx5_MoE_30B,-0.15997006,0.637018,0.532509,0.667279,-0.115324,-0.094781
TheBloke/Lemur-70B-Chat-v1-GPTQ,-0.16064548,0.646489,0.528703,0.680595,-0.108424,-0.065354
abacusai/Llama-3-Smaug-8B,-0.16109428,0.644495,0.546464,0.672881,-0.123687,-0.060003
cloudyu/Mixtral_7Bx2_MoE_DPO,-0.16539921,0.643,0.533777,0.674626,-0.103781,-0.072886
upstage/SOLAR-10.7B-v1.0,-0.16559456,0.641362,0.545829,0.669024,-0.11208,-0.076935
ibivibiv/llama-3-8b-instruct-alpaca-gpt-4,-0.16669486,0.637587,0.547098,0.663789,-0.108043,-0.067601
jsk0214/Seagull-llama-3-8B-orpo-v0.4,-0.17172994,0.641148,0.557564,0.66535,-0.098796,-0.049268
jrahn/llama-3-8b-claudstruct-v1,-0.17606957,0.636234,0.548684,0.661585,-0.092725,-0.076974
922-CA/Llama-3-monika-ddlc-8b-v1,-0.17667158,0.640578,0.545512,0.668105,-0.114576,-0.066599
jsk0214/Seagull-llama-3-8B-orpo-v0.5,-0.1773844,0.639866,0.549952,0.665901,-0.104168,-0.06137
cookinai/NeuralLlama-3-ORPO,-0.17946604,0.636875,0.552807,0.661218,-0.0987,-0.059313
rombodawg/Llama-3-8B-Base-Coder-v3.5-10k,-0.17951879,0.639154,0.548049,0.665534,-0.106066,-0.068831
migtissera/Llama-3-8B-Synthia-v3.5,-0.18113767,0.640151,0.543292,0.668197,-0.105944,-0.083591
scb10x/llama-3-typhoon-v1.5-8b,-0.18583803,0.644068,0.551855,0.670769,-0.121069,-0.055997
vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B,-0.18608712,0.643213,0.544878,0.671687,-0.114808,-0.08565
jingyeom/freeze_KoSoLAR-10.7B-v0.2_1.4_dedup,-0.18693653,0.635522,0.542658,0.662412,-0.111514,-0.074924
kuotient/Seagull-Llama-3-8B-orpo-v0.1,-0.18700452,0.638442,0.555027,0.662595,-0.10523,-0.072652
kodonho/Solar-M-SakuraSolar-Mixed,-0.18950845,0.636234,0.539169,0.66434,-0.127401,-0.101854
Locutusque/Llama-3-Orca-2.0-8B,-0.18957424,0.639154,0.532826,0.669942,-0.10231,-0.074272
Locutusque/llama-3-neural-chat-v2.2-8B,-0.19076023,0.640507,0.537583,0.670309,-0.103645,-0.08353
Kukedlc/Smart-LLama-3-8b-Python-v5,-0.19101048,0.641931,0.555344,0.667003,-0.118655,-0.079359
cookinai/Llama-3-SOLAR-v0.1,-0.19384423,0.636377,0.548049,0.661952,-0.106066,-0.081387
cloudyu/Mixtral_13B_Chat,-0.19438456,0.637018,0.534412,0.666728,-0.107911,-0.085713
nbeerbower/llama-3-bophades-v2-8B,-0.19572063,0.637018,0.552807,0.661401,-0.11676,-0.076049
NeuralNovel/Neural-Llama-3,-0.19595037,0.634596,0.546147,0.660208,-0.112098,-0.071073
birgermoell/llama-3-merge-disco-neural-pace,-0.1976516,0.636519,0.534412,0.666085,-0.113768,-0.07683
willyninja30/ARIA-70B-French,-0.1977292,0.630679,0.522042,0.662136,-0.096634,-0.047556
Faradaylab/Aria-70B,-0.20332178,0.630679,0.522042,0.662136,-0.096634,-0.047556
yanolja/KoSOLAR-10.7B-v0.3,-0.20396902,0.635095,0.538852,0.662963,-0.095589,-0.063767
sumo43/SOLAR-10.7B-Instruct-DPO-v1.0,-0.20403554,0.63659,0.534729,0.666085,-0.108914,-0.081939
Gryphe/Tiamat-8b-1.2-Llama-3-DPO,-0.20511349,0.643213,0.547415,0.670952,-0.117242,-0.084756
NousResearch/Hermes-2-Pro-Llama-3-8B,-0.20865144,0.641006,0.540755,0.670034,-0.118946,-0.085015
922-CA/Llama-3-natsuki-ddlc-8b-v1,-0.20997003,0.632816,0.544878,0.658279,-0.110408,-0.07309
yanolja/KoSOLAR-10.7B-v0.2,-0.21061699,0.633528,0.5379,0.661218,-0.108283,-0.087604
Chickaboo/Chicka-Mixtral-3x7b,-0.21331035,0.635024,0.533777,0.66434,-0.121371,-0.09905
Changgil/K2S3-SOLAR-11b-v4.0,-0.2160806,0.639866,0.536632,0.669758,-0.109197,-0.102233
nbeerbower/llama-3-spicy-8B,-0.2175398,0.634098,0.552807,0.657636,-0.112258,-0.073954
OpenBuddy/openbuddy-falcon-180b-v13-preview0,-0.21996772,0.643783,0.535046,0.675269,-0.113712,-0.050588
cookinai/Llama-3-SOLAR-v0.2,-0.22180416,0.634169,0.546147,0.659657,-0.103296,-0.05751
Suduk/Llama-3-8B-Viper-16bit,-0.22261563,0.63246,0.541389,0.65883,-0.114153,-0.063899
Suduk/Llama-3-8B-Viper-16bit-1,-0.2238189,0.63246,0.541389,0.65883,-0.114153,-0.063899
gradientai/Llama-3-8B-Instruct-262k,-0.22686867,0.638299,0.53346,0.668656,-0.138128,-0.099164
refine-ai/Power-Llama-3-13b-Instruct,-0.2276267,0.634311,0.53346,0.663514,-0.118302,-0.047013
ENERGY-DRINK-LOVE/SOLAR_merge2_dpo,-0.2314792,0.635024,0.539486,0.662687,-0.105448,-0.077621
lcw99/llama-3-10b-it-kor-extented-chang-pro8,-0.23299035,0.63367,0.531874,0.663146,-0.120812,-0.072531
FuseAI/OpenChat-3.5-7B-Mixtral,-0.23595907,0.633457,0.524263,0.665075,-0.096751,-0.092016
cstr/phi-3-orpo-v9_16,-0.23596989,0.651617,0.583888,0.671228,-0.139538,-0.087107
jingyeom/KoSoLAR-10.7B-v0.2_1.3_dedup_p,-0.23684697,0.631819,0.533777,0.660208,-0.100431,-0.088036
maywell/PiVoT-SOLAR-10.7B-RP,-0.23799866,0.633172,0.533143,0.662136,-0.109995,-0.080942
FuseAI/OpenChat-3.5-7B-Solar,-0.23818864,0.632887,0.522677,0.664799,-0.099746,-0.0926
lilloukas/Platypus-30B,-0.23924454,0.644139,0.527751,0.67784,-0.106403,-0.06518
refuelai/Llama-3-Refueled,-0.24218923,0.639937,0.543926,0.667738,-0.117208,-0.072905
Weyaxi/HelpSteer-filtered-Solar-Instruct,-0.24527334,0.628614,0.530289,0.657085,-0.117048,-0.081974
LeroyDyer/Mixtral_AI_Cyber_3.1_SFT,-0.24574412,0.634311,0.535997,0.662779,-0.091012,-0.071044
lcw99/llama-3-10b-it-ko-2024-0527,-0.2458719,0.633813,0.541072,0.660667,-0.117773,-0.077056
LeroyDyer/Mixtral_Chat_X_128k,-0.24626993,0.628044,0.530606,0.656259,-0.097004,-0.043388
garage-bAInd/Platypus-30B,-0.24736919,0.644281,0.528703,0.677748,-0.105198,-0.064834
vicgalle/solarized-18B-dpo,-0.24787769,0.632602,0.53124,0.661952,-0.09914,-0.062353
LeroyDyer/Mixtral_AI_Cyber_3.m2,-0.24837328,0.627546,0.528069,0.65635,-0.095554,-0.066624
scb10x/llama-3-typhoon-v1.5-8b-instruct,-0.2510474,0.633813,0.544244,0.659748,-0.1076,-0.077497
MaziyarPanahi/Llama-3-11B-Instruct-v0.1,-0.25273153,0.635308,0.53346,0.664799,-0.117565,-0.078739
TheBloke/WizardLM-70B-V1.0-GPTQ,-0.25508016,0.629326,0.518237,0.661493,-0.077571,-0.061395
Locutusque/llama-3-neural-chat-v1-8b,-0.25582176,0.632104,0.535046,0.660208,-0.106698,-0.063056
yeontaek/llama-2-70B-ensemble-v8,-0.25740117,0.634383,0.514748,0.669024,-0.1198,-0.074641
hjhj3168/Llama-3-8b-ortho-v2,-0.26715848,0.631178,0.5379,0.658187,-0.118883,-0.057346
namespace-Pt/Llama-3-8B-Instruct-80K-QLoRA,-0.26827237,0.636946,0.547098,0.662963,-0.104239,-0.06969
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-10fail-1000total,-0.27111053,0.632673,0.532509,0.661677,-0.113041,-0.034926
NotAiLOL/Athena-Llama-3-8B-v0.1,-0.27643296,0.62249,0.534095,0.648085,-0.115214,-0.088969
LeroyDyer/Mixtral_AI_128k,-0.27727857,0.628614,0.538218,0.654789,-0.101132,-0.056712
vicgalle/franken-SOLAR-18B-v1.0,-0.2777728,0.628116,0.531557,0.656075,-0.103213,-0.088836
lilloukas/GPlatty-30B,-0.2781586,0.636661,0.513162,0.672422,-0.107484,-0.053939
LeroyDyer/Mixtral_AI_128k_bioMedical,-0.27894554,0.625979,0.530923,0.653504,-0.096412,-0.065067
LeroyDyer/Mixtral_AI_128k_b,-0.28211966,0.626406,0.532509,0.653595,-0.097467,-0.054102
openlynn/Llama-3-Soliloquy-8B-v2,-0.28394878,0.633172,0.549318,0.657452,-0.11717,-0.072041
cloudyu/Mixtral_7Bx4_MOE_24B,-0.28428635,0.620781,0.517602,0.650657,-0.114596,-0.08349
cloudyu/mixtral_7bx4_moe,-0.28721735,0.619784,0.518554,0.649095,-0.116015,-0.082094
kihoonlee/stock-solar-10.7b-v1,-0.28903854,0.638798,0.543292,0.666452,-0.075051,-0.059052
MoaData/Myrrh_solar_10.7b_3.0,-0.29156235,0.636733,0.540121,0.664708,-0.072764,-0.06175
bunnycore/Blackbird-Llama-3-8B,-0.29175454,0.62249,0.531557,0.64882,-0.093762,-0.071604
FairMind/Llama-3-8B-4bit-UltraChat-Ita,-0.29468805,0.625267,0.544878,0.648544,-0.092198,-0.075703
Mollel/Swahili-Alpaca-Llama-3-8b_16bit,-0.29522407,0.623558,0.546147,0.645973,-0.107182,-0.073685
NeuralNovel/Mini-Mixtral-v0.2,-0.29582924,0.62605,0.52902,0.654146,-0.112783,-0.065238
Undi95/Mixtral-4x7B-DPO-RPChat,-0.2963537,0.624555,0.528069,0.652493,-0.098358,-0.068705
LeroyDyer/Mixtral_AI_base_128k,-0.29676753,0.622134,0.52902,0.649095,-0.111239,-0.064718
macadeliccc/laser-dolphin-mixtral-2x7b-dpo,-0.29780337,0.619712,0.517285,0.649371,-0.109457,-0.094068
LeroyDyer/Mixtral_BioMedical,-0.2999244,0.623629,0.531557,0.650289,-0.104364,-0.064837
01-ai/Yi-1.5-6B,-0.30107474,0.636234,0.575959,0.653687,-0.11487,-0.082846
Sao10K/SOLAR-10.7B-NahIdWin,-0.30346996,0.629326,0.535363,0.656534,-0.104134,-0.050992
leejaymin/etri-ones-solar,-0.3038471,0.627831,0.529654,0.656259,-0.088059,-0.05462
LeroyDyer/Mixtral_Instruct,-0.30707616,0.623843,0.530606,0.65084,-0.104761,-0.050643
Joseph717171/SOLAR-19.2B-Instruct-v1.0,-0.31228417,0.627973,0.534095,0.655157,-0.096949,-0.088969
orangetin/OpenHermes-Mixtral-8x7B,-0.3131939,0.634026,0.518554,0.667463,-0.132652,-0.072192
macadeliccc/laser-dolphin-mixtral-4x7b-dpo,-0.31463233,0.618573,0.517919,0.647718,-0.104424,-0.056325
LeroyDyer/Mixtral_AI_Cyber_5.0,-0.31516802,0.619855,0.5268,0.6468,-0.099164,-0.084287
TheBloke/Llama-2-70B-chat-GPTQ,-0.32057616,0.616935,0.510942,0.647626,-0.093831,-0.04286
LeroyDyer/Mixtral_AI_CyberBrain_3_0,-0.3228331,0.622632,0.534729,0.648085,-0.1157,-0.067334
chihoonlee10/T3Q-ko-solar-dpo-v6.0,-0.3249742,0.633172,0.533143,0.662136,-0.084193,-0.047647
PetroGPT/Llama-3-Petro-Instruct-v1,-0.32520524,0.62719,0.538218,0.652953,-0.099377,-0.07703
dddsaty/SOLAR_Merge_Adapter_DPO_Orca,-0.33008868,0.621991,0.520774,0.651299,-0.113154,-0.076581
kimwooglae/AISquare-Instruct-SOLAR-10.7b-v0.5.32,-0.3346364,0.62014,0.529654,0.64634,-0.081699,-0.080637
gradientai/Llama-3-8B-Instruct-Gradient-1048k,-0.3347347,0.621991,0.519188,0.651759,-0.1272,-0.079252
macadeliccc/Opus-Samantha-Llama-3-8B,-0.33584672,0.621849,0.540755,0.64533,-0.124033,-0.050081
hfl/llama-3-chinese-8b,-0.33708948,0.622347,0.539169,0.646432,-0.129942,-0.054811
LeroyDyer/Mixtral_AI_Cyber_MegaMind_3_0,-0.33794108,0.61487,0.518237,0.642851,-0.113975,-0.090573
FelixChao/Llama-3-Petro-Instruct-v1,-0.3387376,0.625125,0.536315,0.65084,-0.099962,-0.08503
jsfs11/MixtureofMerges-MoE-4x7b-v10-mixtralv0.3,-0.3414167,0.62427,0.517285,0.655248,-0.126386,-0.06746
LeroyDyer/Mixtral_AI_Cyber_4.0,-0.34982544,0.618146,0.52236,0.645881,-0.118006,-0.082779
LeroyDyer/Mixtral_AI_CyberTron_Coder,-0.35161445,0.618146,0.521091,0.646249,-0.106448,-0.082202
hfl/llama-3-chinese-8b-instruct,-0.35188442,0.623131,0.528703,0.650473,-0.1105,-0.048744
Cartinoe5930/SOLAR-DUS-implement,-0.3559021,0.61843,0.522994,0.646065,-0.09198,-0.04876
krevas/SOLAR-10.7B,-0.3642929,0.627617,0.524263,0.657544,-0.085785,-0.058144
ajibawa-2023/Uncensored-Frank-Llama-3-8B,-0.37296113,0.621635,0.515382,0.652402,-0.129302,-0.058818
Zardos/A.I.Kant-Test_Llama-3-8B-Instruct_v0.1.0,-0.37456378,0.619926,0.5379,0.643677,-0.100324,-0.078188
Locutusque/Hyperion-3.0-Mixtral-3x7B,-0.37705106,0.613873,0.52458,0.639728,-0.119855,-0.072059
LeroyDyer/Mixtral_AI_CyberTron_DeepMind_III_UFT,-0.38586798,0.608816,0.514431,0.636147,-0.09733,-0.073197
TheSkullery/llama-3-cat-8b-instruct-v1,-0.39159095,0.620068,0.523628,0.647993,-0.109449,-0.067725
msu-rcc-lair/ruadapt_solar_10.7_darulm_unigram_proj_init_twostage_v1,-0.39303878,0.613445,0.52236,0.63982,-0.109212,-0.081735
upstage/llama-30b-instruct-2048,-0.39848045,0.616792,0.506819,0.648636,-0.08444,-0.098534
yunconglong/Mixtral_7Bx2_MoE_13B_DPO,-0.39990428,0.613944,0.497938,0.647534,-0.092522,-0.062233
mobidic/solar-10b-platypus-lora,-0.4015428,0.619427,0.519188,0.648453,-0.091866,-0.069356
LeroyDyer/Mixtral_AI_CyberTron,-0.4044898,0.611167,0.514114,0.639269,-0.099353,-0.070713
AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2,-0.40505946,0.616294,0.535046,0.63982,-0.098051,-0.054221
cloudyu/Mixtral_7Bx2_MoE_13B,-0.40524733,0.615155,0.504916,0.647075,-0.091471,-0.066875
LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0,-0.4055756,0.610882,0.509673,0.640187,-0.101671,-0.051608
Isotonic/Hermes-2-Pro-Mixtral-4x7B,-0.4068365,0.610668,0.511893,0.639269,-0.114869,-0.073655
TheSkullery/llama-3-cat-8b-instruct,-0.4069243,0.619,0.525214,0.646157,-0.108076,-0.064027
ibivibiv/aegolius-acadicus-34b-v3,-0.40888128,0.615938,0.49889,0.64983,-0.106217,-0.079572
ariellee/SuperPlatty-30B,-0.4135403,0.620709,0.511893,0.652218,-0.105264,-0.085094
LeroyDyer/Mixtral_AI_Cyber_3.0,-0.41547582,0.607748,0.511259,0.635687,-0.10057,-0.062941
quantumaikr/QuantumLM-70B-hf,-0.42035612,0.61373,0.497621,0.647351,-0.084039,-0.035429
LeroyDyer/Mixtral_Uncensored,-0.4252448,0.612306,0.518871,0.639361,-0.110156,-0.065834
AwanLLM/Llama-3-8B-Cumulus-v0.1,-0.43001306,0.612733,0.523628,0.638534,-0.108906,-0.072407
Aspik101/llama-30b-instruct-2048-PL-lora,-0.43395898,0.611665,0.505867,0.6423,-0.092738,-0.094698
LeroyDyer/Mixtral_AI_CyberTron_Ultra,-0.44401863,0.599131,0.516968,0.622922,-0.094021,-0.057713
prince-canuma/Llama-3-6B-v0.1,-0.44616884,0.602977,0.515382,0.628341,-0.114242,-0.05467
Aspik101/llama-30b-2048-instruct-PL-lora_unload,-0.44624758,0.610383,0.503647,0.641289,-0.082148,-0.091352
LeroyDyer/Mixtral_ThoughtsProcess_1,-0.4476852,0.607036,0.506502,0.636147,-0.088138,-0.058492
openlynn/Llama-3-Soliloquy-Max-70B-v1,-0.44901705,0.627332,0.561053,0.646524,-0.089421,-0.111709
01-ai/Yi-1.5-6B-Chat,-0.45089933,0.627902,0.568982,0.644963,-0.103179,-0.069381
LeroyDyer/Mixtral_Chat_X,-0.4573358,0.607178,0.497938,0.63881,-0.101369,-0.050304
Secbone/llama-33B-instructed,-0.4619599,0.609671,0.472249,0.649463,-0.096834,-0.039371
Replete-AI/Llama-3-13B,-0.47007596,0.607677,0.516016,0.634218,-0.107411,-0.051846
chlee10/T3Q-platypus-SOLAR-10.7B-v1.0,-0.47178075,0.608816,0.515382,0.635871,-0.103869,-0.072845
jingyeom/KoSoLAR-10.7B-v0.2_1.4_dedup,-0.47634953,0.60084,0.496036,0.631187,-0.095475,-0.056206
gradientai/Llama-3-8B-Instruct-1048k,-0.47806725,0.606039,0.512211,0.633208,-0.123311,-0.092279
rinna/llama-3-youko-8b,-0.48251498,0.600128,0.498573,0.629534,-0.108965,-0.024751
Iker/Llama-3-Neurona-8b,-0.49355727,0.601339,0.526483,0.623014,-0.097829,-0.070324
ChavyvAkvar/llama-3-habib,-0.498483,0.606466,0.517285,0.632289,-0.108095,-0.057596
jondurbin/airoboros-33b-gpt4-1.2,-0.51938623,0.600627,0.483984,0.634402,-0.093348,-0.081699
cognitivecomputations/dolphin-2.9.1-llama-3-8b,-0.5196358,0.597849,0.519822,0.620443,-0.105943,-0.072244
gaodrew/gaodrew-llama-30b-instruct-2048-Open-Platypus-100steps,-0.52408713,0.595001,0.494133,0.624208,-0.076515,-0.089254
LeroyDyer/Mixtral_AI_Cyber_Child,-0.53375,0.586455,0.494767,0.613004,-0.085746,-0.075414
karakuri-ai/karakuri-lm-70b-chat-v0.1,-0.5388025,0.593932,0.47098,0.629534,-0.079726,-0.070618
AIGeekLabs/radiantloom-mixtral-8x7b-fusion,-0.5551047,0.594573,0.491278,0.624483,-0.104022,-0.073628
jondurbin/airoboros-33b-gpt4-1.4,-0.5626576,0.58852,0.481446,0.619524,-0.076341,-0.070143
Henk717/airochronos-33B,-0.5626668,0.590728,0.488741,0.620259,-0.086927,-0.052756
TheBloke/WizardLM-30B-fp16,-0.5661856,0.587452,0.468443,0.621912,-0.108076,-0.066916
Josephgflowers/Phi-3-mini-4k-instruct-Cinder-llamafied-with-16bit-GGUF,-0.5667289,0.603903,0.53346,0.6243,-0.105271,-0.061549
LLMs/WizardLM-30B-V1.0,-0.56913155,0.587523,0.46876,0.621912,-0.10969,-0.068884
lmsys/vicuna-33b-v1.3,-0.5697272,0.592722,0.463368,0.630177,-0.104301,-0.043843
